JD	RV	Error	Observatory	
3482.96440	2.10	0.73	A	
3483.96117	5.56	0.60	A	
3485.07996	3.54	0.59	A	
3486.04514	0.25	0.48	A	
3488.13906	2.37	0.59	A	
3489.08696	3.00	0.61	A	
3516.04043	3.76	0.71	A	
3521.94298	1.94	0.96	A	
3569.90141	-4.25	0.83	A	
3570.94617	-3.47	0.57	A	
3571.94048	-1.64	0.63	A	
3573.87030	-2.32	0.64	A	
3575.87530	1.93	0.61	A	
3576.89023	4.07	0.55	A	
3577.86776	3.57	0.67	A	
3578.91377	-1.40	0.57	A	
3840.21603	4.18	0.77	A	
3841.16188	7.05	0.65	A	
3843.13891	10.21	0.62	A	
3844.08319	6.07	0.66	A	
3937.93317	-2.73	0.72	A	
3938.93436	0.21	0.64	A	
3943.88525	-2.85	0.53	A	
3944.88569	-5.13	0.47	A	
3945.88638	-6.74	0.55	A	
3946.88960	-3.68	0.55	A	
4111.21051	7.14	0.77	A	
4112.21939	6.16	0.60	A	
4113.22990	4.11	0.75	A	
4114.26145	3.12	0.90	A	
4119.24597	3.94	0.74	A	
4120.22002	3.31	0.70	A	
4121.21210	1.44	0.56	A	
4123.23541	-3.13	0.63	A	
4126.19788	-3.12	0.65	A	
4127.20219	-3.88	0.62	A	
4128.20519	-2.82	0.73	A	
4129.20022	0.69	0.52	A	
4130.19130	-4.28	0.53	A	
4131.20082	-5.25	0.53	A	
4132.20696	-4.95	0.73	A	
4135.19894	-7.04	0.67	A	
4136.21567	-4.83	0.56	A	
4137.21358	-0.90	0.49	A	
4138.19311	-1.62	0.82	A	
4139.18689	-3.61	0.72	A	
4141.21764	-0.05	0.71	A	
4142.20644	0.61	0.51	A	
4144.14374	-0.35	0.57	A	
4145.17237	2.53	0.58	A	
4146.19289	5.15	0.55	A	
4147.21096	-0.63	0.55	A	
4148.24103	-3.18	0.57	A	
4149.18109	2.16	0.63	A	
4150.21285	3.30	0.62	A	
4151.22296	0.56	0.64	A	
4152.09352	0.80	0.73	A	
4152.25396	-2.16	0.54	A	
4153.17187	2.83	0.68	A	
4154.09474	4.38	0.57	A	
4154.27050	3.11	0.66	A	
4155.06551	2.80	0.59	A	
4155.27322	2.43	0.64	A	
4156.18613	0.44	0.42	A	
4157.16889	2.37	0.89	A	
4158.18706	3.65	0.88	A	
4223.12188	8.13	0.54	A	
4224.15218	6.77	0.72	A	
4225.08458	10.59	0.62	A	
4226.02062	14.20	0.85	A	
4227.02043	8.15	0.68	A	
4252.97759	-0.11	0.80	A	
4254.01661	2.11	0.70	A	
4254.91868	5.69	0.85	A	
4255.98460	6.39	0.81	A	
